"TicketID","CreatedDate","SubjectNoHTML","TransactionContent"
"3284658","2025-10-16 12:23:42","Assistance using [ID] HPCF Cluster to run LS Dyna simulations","Hi [USER], I saw the groups were created for the class and the lab. I finally heard back from our licensing team, and it seems like we are unable to install the program that [STAFF] asked for on a system wide scale available for all users. That being said, it's probably possible to install the program for individual users. [STAFF], have you been added to the class yet? If not I can add you now. If you have, have you taken a shot at installing the program yourself? If you have any issues you can schedule an office hours with our team here: https://hpcf.umbc.edu/help/office-hours/. I'll leave this open for a few days in case there is any questions about it. On Thu Oct 09 12:55:44 2025, [USER] wrote: Just did. One group for class, one for my research lab. On Thu, Oct 9, 2025 at 11:40 AM [STAFF] via RT <[EMAIL]> wrote: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3284658 > Last Update From Ticket: Hi all, Checking in on this. Were you able to submit a group request? On Tue Oct 07 13:04:16 2025, [USER] wrote: This is awesome. I will setup this up after lunch. Thank you immensely Max! On Tue, Oct 7, 2025 at 11:33 AM [STAFF] via RT <[EMAIL]> wrote: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3284658 > Last Update From Ticket: Sorry for the late response to this. We're looking at making this available on our shared resource, but am waiting to hear back about our licenses. In the meantime it might be possible to install these programs in your user directory. What I would like for your professor to do is set up a new group as a class, so if possible have them go here: https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Research%20Computing and request a new group under a PI, and in the notes write that this is for the ENME 444 class. Once that's done we can get you on the cluster, and if we still don't know anything about the license, we'll work to try to set up the software for you as an individual. On Thu Oct 02 08:39:49 2025, [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [USER] Cc: [EMAIL], [EMAIL], [EMAIL] Hello, I'm a student currently taking ENME 444 Capstone and I am using Ansys and LS Dyna to run simulations of a car crash. The simulations are too large for the student version of the software and also too large to run locally on my laptop. My professor recommended reaching out to see how I can set up LS Dyna to run on the UMBC cluster. Attachment 1: Ansys remote.png"
"3285275","2025-10-03 15:45:44","HPC User Account: [USER] in pi_[ID]","The accounts have been created: Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) Let me know if you have any more questions! [STAFF]"
"3285334","2025-10-07 16:09:58","HPC User Account: [USER] in [STAFF]","Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) On Thu Oct 02 17:05:48 2025, [STAFF] wrote:  Please approve the account for [USER]. Sent from my iPhone > On Oct 2, 2025, at 3:42 PM, RT API via RT <[EMAIL]> wrote: > This e-mail is a notification that a UMBC user: [USER] <[EMAIL]> has requested an account within UMBC's HPC environment in your group <[STAFF]>. As the PI, we request that you acknowledge and approve this account creation by replying to this message. Alternatively you can go to this link and review the ticket and indicate your decision here: > Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3285334> > Once we have your approval, we will create the account and you and the new user will receive another e-mail notifying you that the account has been created. If you have any other questions or concerns please contact us. > - UMBC DoIT Research Computing Support Staff"
"3285426","2025-10-03 17:25:32","HPC Other Issue: Resource Usage Concern on Shared Compute Node","Thank you for your reply. That makes sense. On Fri Oct 03 10:50:43 2025, [STAFF] wrote: Hello, I understand the concern about shared node performance. However, as long as jobs are submitted within the set limits, they are considered valid and within policy. If we see repeated issues that affect the whole system, we can look at changing the limits. For now, the user is working within their allowed usage. Best, [STAFF] On Thu Oct 02 16:49:15 2025, [STAFF] wrote: I would like to bring to your attention that one of the users (ID:[USER], see attached) appears to be occupying a significant portion of the compute resources on our shared node. This high usage may impact the efficiency and workflow of other users. Could you please remind this user to be mindful of resource usage and try to avoid monopolizing the node, so that everyone can work more smoothly?"
"3285512","2025-10-03 19:05:03","HPC User Account: [USER] in pi_[STAFF]","No problem, here is the information on the new account: Hi [USER], Your account ([USER]) has been created on chip.rs.umbc.edu. Your primary group is pi_[STAFF]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://[EMAIL]/wiki/spaces/faq/pages/[ID]/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://[EMAIL]-request-tracker-rt/[EMAIL]-research-computing/) Best, [STAFF]"
"3286322","2025-10-06 14:39:34","HPC Other Issue: Can [USER] request for a cpu and a gpu using sbatch?","Hi [USER], All nodes on chip have CPUs, as they are required to function. However, nodes on chip-gpu also have GPUs available. So yes, when using chip-gpu you can request both GPUs and CPU cores. You would request this the same way as chip-cpu. For more information about the hardware specification, check out this page: https://[DOMAIN]/wiki/spaces/faq/pages/[PAGEID]/Cluster+Specifications#CPU-and-GPU-Specifications. For more information on requesting CPU cores, check out this page: https://[DOMAIN]/wiki/spaces/faq/pages/[PAGEID]/Basic+Slurm+Commands#Jobs,-Tasks,-CPU-cores,-and-Nodes. Let me know if you have any additional questions or clarification. -- Kind regards, [STAFF]"
"3286362","2025-10-06 20:24:14","HPC Other Issue: c24-01 tmp area full","Thanks, interesting suggestion. I solved the problem by going to a different node. [STAFF], Ph.D., Professor of Mathematics Department of Mathematics and Statistics Center for Interdisciplinary Research and Consulting (circ.umbc.edu) UMBC High Performance Computing Facility (hpcf.umbc.edu) REU Site: Online Interdisciplinary Big Data Analytics (BigDataREU.umbc.edu) University of Maryland, Baltimore County 1000 Hilltop Circle, Baltimore, MD 21250 http://www.umbc.edu/~[STAFF] On Mon, Oct 6, 2025 at 10:21 AM [STAFF] via RT <[EMAIL]> wrote: If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_[ID]&customeremail=[EMAIL]&groupid=EIS&ticketid=3286362&ticketowner=[EMAIL]&ticketsubject=HPC Other Issue: c24-01 tmp area full If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://rt.umbc.edu/Ticket/Display.html?id=3286362 Thank You R e s o l u t i o n: Hi [USER], Thank you for letting us know. The issue has been resolved. Additionally, if this occurs in the future, you could attempt to change the location that the compiler uses to temporarily store files. I believe this would be achieved by setting the $TMPDIR environment variable. For example, you could try to run... TMPDIR=/scratch/$JOB_ID/ mpiicc -O3 trap.c -o trap -- Kind regards, [STAFF] (she/her/hers) DoIT Unix Infra Student Worker On Sun Oct 05 20:20:51 2025, [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [ID] Request Type: High Performance Cluster Hi, This is surely a funky error, but if trying to compile on c24-01 in an interactive session, for Intel MPI, it says [gobbert@c24-01 ver1.0solution]$ mpiicc -O3 trap.c -o trap icx: error #10295: error generating temporary file name, check disk space and permissions A student also reported this to me. The /tmpfs area or something like seems to be full. [USER] Original Request: Requestors: [USER] First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [ID] Request Type: High Performance Cluster Hi, This is surely a funky error, but if trying to compile on c24-01 in an interactive session, for Intel MPI, it says [gobbert@c24-01 ver1.0solution]$ mpiicc -O3 trap.c -o trap icx: error #10295: error generating temporary file name, check disk space and permissions A student also reported this to me. The /tmpfs area or something like seems to be full. [USER]"
"3286765","2025-10-06 19:11:20","HPC Other Issue: Can I get the H100","Hi [USER], Chip is a shared resource. Unless your group has contributed the H100 nodes, access to the node is shared between all of the cluster's users. Normally, your job would run after their job has completed. I suggest waiting until the currently running jobs complete, then your job will run. Or, if your job does not actually require two H100s, you could try to run it on other GPU hardware, such as L40S's or RTX_8000s. There is a greater amount of these nodes available, which would reduce the time it takes for your job to run. Let me know if you have any additional questions. Have a nice day! -- Kind regards, [STAFF]. On Mon Oct 06 12:49:34 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [ID] Request Type:              High Performance Cluster. I've submitted a SLURM job requesting 2 H100 GPUs, but it's currently pending. I'd like to request access to those resources. I'm working with the UMBC-CREM Center. CLUSTER: chip-gpu              JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)             101669       gpu gemma_fi [USER] PD       0:00      1 (Priority)."
"3286853","2025-10-10 16:40:56","HPC Other Issue: need authorization in the common directories","The issue should now be resolved. If you continue to have issues with this, feel free to let us know. Have a nice day! Thank you for your help I will talk with [USER] to see if I understand the issue, [USER]. Sent from my iPhone. On Oct 10, 2025, at 9:41 AM, [STAFF] via RT wrote: Ticket. Last Update From Ticket: Hi [USER], I have verified again that the permissions for the common directory are correct-- So I do not understand why your students are unable to access the common directory. Please see below where I tested the permissions for the common directory using a student account. Could either you or the student who submitted an additional ticket provide some more information with exactly what you are attempting to do? Thanks [ptembei1@chip-login2 ~]$ pi_mkann_common [ptembei1@chip-login2 common]$ pwd /umbc/rs/pi_mkann/common [ptembei1@chip-login2 common]$ touch test [ptembei1@chip-login2 common]$ ls dbraw downloaded_data Projects test [ptembei1@chip-login2 common]$. My student still gets access denied when she tried maybe you can see what the problem is, M. Sent from my iPhone. On Oct 6, 2025, at 1:57 PM, [STAFF] via RT wrote: If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://www.google.com/url?q=https://umbc.us2.qualtrics.com/SE/?SID%3DSV_etfDUq3MTISF6Ly. If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket https://www.google.com/url?q=https://rt.umbc.edu/Ticket/Display.html?id%253D3286853. Thank You. Resolution: Hi [USER], I resolved the permission issues with pi_mkann/common. Let me know if you continue to experience errors when accessing that directory. Have a nice day! -- Kind regards, [STAFF] DoIT Unix Infra Student Worker. On Mon Oct 06 13:41:02 2025, [USER] wrote: First Name: [USER]. Last Name: [LAST NAME]. Email: [EMAIL]. Campus ID: [CAMPUS ID]. Request Type: High Performance Cluster. Hello, I have recently had taki files transfer to chip, could you helps setting up the new common directory so all users in my lab have access and can edit, etc. The way it is now we don't have permissions set up for that. Thanks, [USER]."
"3286959","2025-10-07 13:27:01","HPC User Account: [USER] in Student Group","Hello there. If you're under [STAFF], if he has an HPC account, he could easily sponsor your account, making things much easier on the cluster. Feel free to join the student group if [STAFF] requested you to do that, however. Anyways, here is the official link (A guide on how to create an HPC account): https://umbc.atlassian.net/wiki/spaces/faq/pages/1327431728/How+to+request+a+user+group+account+on+chip. Remember that if [STAFF] is sponsoring your account, we would need written permission from him. That's as simple as cc'ing him to the ticket creation, and having him say 'I approve' or something similar in a reply. Best, [STAFF]."
"3287359","2025-10-10 14:26:50","HPC Slurm/Software Issue: Module Not Available","All the documentation for these programs are publicly available online. We are able to assist with HPC related issues you encounter along the way, however we are unable to walk you through everything. We mainly provide support with HPC/Slurm related issues, and utilizing all of those modules is a little out of scope. If you have any specific questions to help get started, I can do my best to answer them. Otherwise, I recommend taking a look at the documentation for the modules you requested to utilize them. Thanks! Yes, I loaded CGNS successfully. Now I am not sure how to use all of the modules for my code compilation and run the cases eventually. Could you please help me out with this? Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3287359> Last Update From Ticket: I attempted to install CGNS as a custom module. You should be able to load the module with 'module load CGNS/4.5.0'. Can you attempt to load/use the module to verify it works as expected? If you run into issues with the module, let me know. -- Kind regards, [STAFF] DoIT Unix Infra Student Worker On Thu Oct 09 12:05:07 2025, [USER] wrote: > Hi Imran, > You do not need to reinstall the software every time you log in/out. After you compile the software, it is installed to whichever directory of your choosing. From there, all you need to do is add the path to your install directory to your PATH environment variable (or just run the binaries from inside the install directory). > The software is not readily supported by the module system, easybuild. There are some ways to possibly working around this, but for most use cases, to ensure compatibility it is recommended to just compile from source. I can take a crack at installing it as a custom module though. > Also, could you elaborate on what you mean by 'a bash file so that I don't have to install all of the modules'? All the modules have already been installed, and just need to be loaded using 'module load $MODULE_NAME'. -- Kind regards, [STAFF] DoIT Unix Infra Student Worker On Thu Oct 09 11:52:15 2025, [USER] wrote: >> Hi Danielle, Thank you very much for the update. Couldn't you please load the CGNS also? Because I could be wrong as I am not that much familiar with this chip system yet. My assumption is, if I install it by myself, then I have to do it again and again whenever I enter into the system, and run some cases. Please correct me if I am wrong! And I also need your help to make a bash file so that I don't have to install all of the modules that I need to run my cases every time separately. I need lots of modules to run every single test case of mine. Thanks, [USER] On Thu, Oct 9, 2025 at 11:27 AM [STAFF] via RT <[EMAIL]> wrote: >>> If you agree your issue is resolved, please give us feedback on your experience by completing a brief satisfaction survey: https://umbc.us2.qualtrics.com/SE/?SID=SV_etfDUq3MTISF6Ly&customeremail=wv96094%40umbc.edu&groupid=EIS&ticketid=3287359&ticketowner=desposi1%40umbc.edu&ticketsubject=HPC Slurm/Software Issue: Module Not Available >>> If you believe your issue has not been resolved, please respond to this message, which will reopen your ticket. Note: A full record of your request can be found at: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3287359> Thank You _________________________________________ R e s o l u t i o n: ========= Hi Imran, Yes, I was just about to update this ticket. I installed MPICH versions 4.2.2 and 4.2.1, along with PETSc 3.20. For CGNS, we are currently on version 4.5.0. However, the user must load the HDF5 module first before loading the CGNS module. If you have any questions or issues, please don't hesitate to ask. -- Kind regards, [STAFF] DoIT Unix Infra Student Worker On Thu Oct 09 11:20:57 2025, [USER] wrote: >>> Hello, Is there any update on the ticket? Thanks,[USER] On Tue, Oct 7, 2025 at 10:15 AM via RT <[EMAIL]> wrote: >>>> Greetings, This message has been automatically generated in response to the creation of a ticket regarding: -------------------------------------------------------------- Subject: 'HPC Slurm/Software Issue: Module Not Available' Message: First Name: Abdullah Al Last Name: Imran Email: [EMAIL] Campus ID: WV96094 Request Type: High Performance Cluster Hello, I need MPICH, CGNS, PETSC modules to run my cases on hpcf cluster. But these modules are not available there to load! Could you please load the latest version of these three modules to the cluster and let me know when it's ready? Thanks, [USER] -------------------------------------------------------------- There is no need to reply to this message right now. Your ticket has been assigned an ID of [Research Computing #3287359] or you can go there directly by clicking the link below. Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3287359> You can login to view your open tickets at any time by visiting http://my.umbc.edu and clicking on 'Help' and 'Request Help'. Alternately you can click on http://my.umbc.edu/help Thank you _______________________________________ Original Request: Requestors: Abdullah Al Imran First Name: Abdullah Al Last Name: Imran Email: [EMAIL] Campus ID: WV96094 Request Type: High Performance Cluster Hello, I need MPICH, CGNS, PETSC modules to run my cases on hpcf cluster. But these modules are not available there to load! Could you please load the latest version of these three modules to the cluster and let me know when it's ready? Thanks, [USER]"
"3287360","2025-10-07 18:04:47","HPC Slurm/Software Issue: Job Resource Allocation Failing","Seems to be working now. Thank you! On Tue Oct 7 2025 at 1:59 PM [STAFF] via RT <[EMAIL]> wrote: Ticket <URL: https://rt.[DOMAIN]/Ticket/Display.html?id=[NUMBER]> Last Update From Ticket: Ha, I think you cleared out *too much*. The file '.bashrc' is what's generally in charge of creating your environment. If you just deleted everything in your home directory it doesn't know how to create your environment. I added it back in with the default set up we create for users in their bashrc and was able to confirm that your environment now looks normal: [USER@chip-login2 ~]$ srun --cluster=chip-gpu --time=01:00:00 --mem=4000 --gres=gpu:1 --cpus-per-task=1 --pty $SHELL srun: job [NUMBER] queued and waiting for resources srun: job [NUMBER] has been allocated resources [USER@g24-01 ~]$ Let me know if you still have issues. On Tue Oct 07 13:08:07 2025 [USER] wrote: Thank you for the quick reply I cleared out my home directory [USER@chip-login2 ~]$ df -h /home/[USER]/ Filesystem Size Used Avail Use% Mounted on nfs.[DOMAIN]:/ifs/data/chip/home/[USER] 500M 0 500M 0% /home/[USER] But when I try and run an interactive session I still have the same issue [USER@chip-login2 ~]$ srun --cluster=chip-gpu --time=01:00:00 --mem=4000 --gres=gpu:1 --cpus-per-task=1 --pty /bin/bash srun: job [NUMBER] queued and waiting for resources srun: job [NUMBER] has been allocated resources bash-5.1$ On Tue Oct 7 2025 at 11:24 AM [STAFF] via RT <[EMAIL]> wrote: Ticket <URL: https://rt.[DOMAIN]/Ticket/Display.html?id=[NUMBER]> Last Update From Ticket: Hi [USER] Your home directory is completely filled which can sometimes cause unexpected things to happen when creating new sessions like what happens slurm starts a new interactive shell Please remove some of the stuff from your home directory If you're still having an issue after that please let me know bash-5.1$ df -h /home/[USER]/ Filesystem Size Used Avail Use% Mounted on nfs.[DOMAIN]:/ifs/data/chip/home/[USER] 500M 500M 0 100% /home/[USER] On Tue Oct 07 10:16:15 2025 [USER] wrote: First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [CAMPUSID] Request Type: High Performance Cluster I was trying to get a conda environment set up but after running conda create to make one the next time I started an interactive job command was: srun --cluster=chip-gpu --time=04:00:00 --mem=40000 --gres=gpu:1 --constraint=rtx_6000 --cpus-per-task=18 --pty /bin/bash I noticed that instead of putting me into a node like normal my terminal now says 'bash-5.1$' instead of showing what node I'm on and when I try to run: module load Anaconda3/2024.02-1 I get a note saying: Note: Modules do not function on the login node If I then exit I am returned to the login node and I have to exit again to leave my ssh session Best [STAFF] DOIT HPC System Administrator"
"3287721","2025-10-07 16:32:20","HPC User Account: [USER] in oates","Hi [USER]. Your account ([USER]) has been added to your primary group is pi_[STAFF]. Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Please submit additional questions or issues as separate tickets via the following link. (https://doit.umbc.edu/request-tracker-rt/doit-research-computing/) On Tue Oct 07 11:56:14 2025, [STAFF]@cs.umbc.edu wrote: I approve. On Tue, 7 Oct 2025, RT API via RT wrote: This e-mail is a notification that a UMBC user: [USER] <[EMAIL]> has requested an account within UMBC's HPC environment in your group <[STAFF]>. As the PI, we request that you acknowledge and approve this account creation by replying to this message. Alternatively you can go to this link and review the ticket and indicate your decision here: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=[NUMBER]> Once we have your approval, we will create the account and you and the new user will receive another e-mail notifying you that the account has been created. If you have any other questions or concerns please contact us. - UMBC DoIT Research Computing Support Staff. Best, [STAFF]."
"3287907","2025-10-09 00:52:09","URGENT: Software Access Policy Hindering [USER]'s Research - Request for Immediate Remote Desktop Access","Excellent! Glad to hear this is working. I'll mark this as resolved -- do reopen if there are related issues. On Wed Oct 08 15:59:49 2025, [STAFF] wrote: The student was able to download the software. Thank you for your help on this matter! I have no further requests. Best, [STAFF]. On Tue, Oct 7, 2025 at 3:00 PM [STAFF] <[EMAIL]> wrote: Thank you for your prompt response! I will reach out to the student and update you accordingly. With appreciation, [STAFF]. On Tue, Oct 7, 2025 at 2:57 PM [STAFF] via RT <[EMAIL]> wrote: Ticket <URL: https://rt.umbc.edu/Ticket/Display.html?id=3287907>. Last Update From Ticket: Hi [STAFF], Could you have your student try this environment? https://elum.in/umbc-desktop-sosc. I believe it offers the appropriate access. -- [STAFF]."
"3288361","2025-10-16 01:37:55","HPC Other Issue: [USER] access to chip?","Yes she has Thanks for checking Dr [STAFF] Associate Professor Department of Biological Sciences University of Maryland Baltimore County 1000 Hilltop Circle Baltimore MD 21250 Office +1 410 455-2147 On Wed Oct 15 2025 108PM [USER] via RT wrote Ticket URL https//rtumbcedu/Ticket/Displayhtmlid=3288361 Last Update From Ticket Hi [STAFF] Just checking in was your student able to access the cluster On Fri Oct 10 11:46:59 2025 [USER] wrote Please do Ill also ask that you submit an RT ticket to formally add the student to your group https//rtformsumbcedu/rt_authenticated/doit/DoIT-supportphp?auto=Research Computing I looked into the VPN issue and it seems like the student should be fine as long as they install the vpn Once theyre added well test it out and see what happens from there On Thu Oct 09 16:26:28 2025 [USER] wrote OK Ive just received notice that the students affiliation has been reinstated her name is [USER] and her ID# is [CAMPUS ID] She should have access through 6/30/2026 What would be the next step for allowing her to access my labs volume on chip Should I direct her to download the VPN too On Thu Oct 9 2025 at 11:55 AM [USER] via RT wrote Ticket URL https//rtumbcedu/Ticket/Displayhtmlid=3288361 Last Update From Ticket Hi [STAFF] Typically we dont allow for users into UMBC services if they are not in North America even with VPN That being said we can make some exceptions to this rule For now start by sponsoring an account for the student information for that can be found here https//umbcatlassian net/wiki/spaces/faq/pages/30739140/How+do+I+request+myUMBC+accounts+for+non-UMBC+users+Create+a+Sponsored+Account and well go from there On Wed Oct 08 11:01:26 2025 [USER] wrote First Name [STAFF] Last Name [STAFF] Email [EMAIL] Campus ID [CAMPUS ID] Request Type High Performance Cluster Hello I have a Brazilian graduate student on fellowship [USER] who generated a large genomic dataset while working in my lab and who now is trying to analyze this dataset using the program Stacks She has submitted jobs to servers at her home institution of U Sao Paolo and the UK school where her fellowship continued but they havent been running due to timeouts and/or job backlogs She would like to access chip via my labs login but we have a couple of questions about this 1 Is this allowed My lab has tried to access chip while abroad and was unsuccessful but this may have been because the hotel internet was slow I know the GlobalProtect VPN would probably need to be downloaded too 2 Can I create a log-in for her She was assigned a UMBC account while working here in 2023 but I assume that has lapsed Thank you for the help"
"3288390","2025-10-10 15:28:16","Utilizing matched nodes on chip-cpu","Hello To run a job across 12 nodes, you can submit a job to the contrib partition and request 12 nodes. SLURM will allocate your 6 dedicated nodes first (--nodelist=c24-[14-19]) and then fill the remaining slots from available match nodes. Here's an example sbatch script you can use: #SBATCH --cluster=chip-cpu #SBATCH --mem=5000M #SBATCH --time=01:00:00 #SBATCH --account=pi_[STAFF] #SBATCH --partition=contrib #SBATCH --nodes=12 #SBATCH --qos=shared #SBATCH --nodelist=c24-[14-19] Let us know if that doesn't work. On Wed Oct 08 11:26:08 2025, [USER] wrote: From [STAFF]: 'We need to help to understand how the PI partitions are working in Chip. When I look at the pi_[STAFF], I can see that we have nodes 14 to 19 (6 in total) assigned to it. But I should have access also to the +6 additional nodes from the matching funding, right? How can we use these additional nodes? We will have to run some very large simulations, which will require using all 12 nodes at once. We don't know how to queue such a job, since my partition only shows 6 nodes.' -- [STAFF] DoIT Research Computing Team Best, [STAFF] DOIT Unix infra, Graduate Assistant"
"3288602","2025-10-09 17:20:23","HPC Other Issue: cannot log into chip","Hi [USER], I just wanted to give you an update regarding the status of chip. Access to the cluster was restored yesterday afternoon, and access to ada volumes have also been restored. For more information, please check out the myUMBC post: https://my3.my.umbc.edu/groups/hpcf/posts/153425 -- Kind regards, [STAFF] DoIT Unix Infra Student Worker On Wed Oct 08 14:43:59 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [ID] Request Type:              High Performance Cluster Completely Hangs after Last login : Wed Oct 8 ......"
"3288614","2025-10-09 17:19:20","HPC Other Issue: Unable to connect to chip","Hi [USER], I just wanted to give you an update regarding the status of chip. Access to the cluster was restored yesterday afternoon, and access to ada volumes have also been restored. For more information, please check out the myUMBC post: https://my3.my.[DOMAIN]/groups/hpcf/posts/153425. Kind regards, [STAFF]"
"3288634","2025-10-09 17:21:27","HPC Other Issue: Unable to access login shell after connecting to [SERVER]","Hi [USER], I just wanted to give you an update regarding the status of chip. Access to the cluster was restored yesterday afternoon, and access to ada volumes have also been restored. For more information, please check out the myUMBC post: https://my3.my.umbc.edu/groups/hpcf/posts/153425. Kind regards, [STAFF] DoIT Unix Infra Student Worker. On Thu Oct 09 12:13:04 2025, [USER] wrote: I appreciate your clarification~ On Wed Oct 08 16:03:51 2025, [USER] wrote: Hello [USER], Our team is aware of the issue, and we are working on resolving this at the moment. We understand the inconvenience this may cause you, but we will send an update once this issue has been fixed. Best regards, [STAFF]."
"3288676","2025-10-09 17:19:49","HPC Slurm/Software Issue: SSH Connection Hanging","Hi [USER], I just wanted to give you an update regarding the status of chip. Access to the cluster was restored yesterday afternoon, and access to ada volumes have also been restored. For more information, please check out the myUMBC post: https://my3.my.umbc.edu/groups/hpcf/posts/153425 Have a nice day! -- Kind regards, [STAFF] On Wed Oct 08 15:55:51 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUS_ID] Request Type:              High Performance Cluster Good afternoon, When I ssh into chip.rs.umbc.edu, I am able to be successfully logged in. However, the connection just hangs there without presenting a shell prompt afterwards. Is there any way I could resolve this issue? This happens when I try to use putty and my windows powershell."
"3288709","2025-10-09 17:20:47","HPC Slurm/Software Issue: Can't log in","Hi [USER], I just wanted to give you an update regarding the status of chip. Access to the cluster was restored yesterday afternoon, and access to ada volumes have also been restored. For more information, please check out the myUMBC post: https://my3.my.umbc.edu/groups/hpcf/posts/153425 -- Kind regards, [STAFF] DoIT Unix Infra Student Worker  On Wed Oct 08 16:26:02 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUSID] Request Type:              High Performance Cluster I cant log in to chip"
"3288849","2025-10-09 15:58:20","HPC Slurm/Software Issue: ADA storage","Hi [USER], Thanks for your patience and understanding. The Ada volume are back! https://my3.my.umbc.edu/groups/hpcf/posts/153425 On Wed Oct 08 23:32:33 2025, [STAFF] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUS_ID] Request Type:              High Performance Cluster I know the ada storage is not working and its under maintenance. But do you have any timeframe on how much time it will take? My all experiment data is stored in ada, so i cant work on rs without access to that data. Thanks for your understanding. Best, [STAFF]"
"3289186","2025-10-09 16:54:34","Start a new group under a [STAFF]","First Name: [USER] Last Name: [USER] Email: [EMAIL] Campus ID: [ID] Request Type: Help with something else I’d like to start two new groups. 1) for a class “ENME444 - Mechanical Engineering Capstone Design” 2) my research group “eMACS Lab” Thank you"
"3289187","2025-10-09 18:11:12","Start a new group under [STAFF]","Hi [USER], I created two groups for you, along with an account for your user. First, Your account ([USERNAME]) has been created on chip.rs.umbc.edu. Your primary group is pi_[USERNAME]. Your home directory has 500M of storage. You can find a short tutorial on how to use chip here: https://umbc.atlassian.net/wiki/spaces/faq/pages/1112506439/Getting+Started+on+chip Please read through the documentation found at hpcf.umbc.edu > User Support. All available modules can be viewed using the command 'module avail'. Secondly, The group pi_[USERNAME] now exists on the chip cluster. Members of this group can therefore access and contribute to the research storage space allocated to the group. This storage is located at /umbc/rs/pi_[USERNAME] and currently has a quota of 25T. And lastly, The group [GROUPNAME] now exists on the chip cluster. Members of this group can therefore access and contribute to the research storage space allocated to the group. This storage is located at /umbc/class/[GROUPNAME] and currently has a quota of 5T. Please review documentation on the hpcf.umbc.edu website. Submit any questions or issues as separate RT Tickets at: https://doit.umbc.edu/request-tracker-rt/doit-research-computing/. Feel free to let us know if you encounter any issues with either of your groups! Have a good day! -- Kind regards, [STAFF] DoIT Unix Infra Student Worker On Thu Oct 09 12:54:38 2025, [USER] wrote: First Name:                [USER] Last Name:                 [USER] Email:                     [EMAIL] Campus ID:                 [CAMPUSID] Request Type:              Help with something else I’d like to start two new groups.   1)  for a class “ENME444 - Mechanical  Engineering Capstone Design”  2) my research group “[RESEARCHGROUP]” Thank you"
